序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
124,"特写，纯白无影棚环境，一副极简设计的白色无线耳机静置于画面中央，俯视机位，居中构图，柔和顶光与轮廓光勾勒流畅曲面，镜头缓慢推进，耳机缓缓悬浮并匀速旋转，哑光外壳与金属边缘呈现真实反射和细腻材质，整体画面极简纯净。
超近景，镜头环绕耳机缓慢移动，背景完全虚化，依次掠过金属边框、扬声器开孔、磨砂纹理与接缝细节，光线随着镜头移动自然流转，真实展现工业设计、材质质感和精密工艺。
中近景，低机位轻微环绕，充电仓缓缓开启，两只耳机精准悬浮对位后自然吸附进入充电仓，开合动作流畅稳定，机械结构富有节奏感，镜头同步跟随运动，突出科技产品的精密感与未来感。
特写，镜头缓缓拉远，产品稳定停留于纯白空间中央，大面积留白营造高级视觉氛围，Apple Logo 自然淡入画面，整体采用 Apple 产品广告风格，超写实CG，电影级商业摄影，真实材质渲染，高动态范围光照，自然反射，极简主义美学，8K画质。",物体,,材质质感,刚体位移,专业影视语言,"运镜,多镜头",中文,392,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0123.mp4
125,一个白色无线耳机放在纯白背景上，镜头慢慢靠近，耳机缓缓转动，可以清楚看到表面的材质和细节。然后充电盒自动打开，耳机慢慢放进去，动作很流畅，最后镜头拉远，Apple Logo 出现在画面里，整体干净高级，很像苹果产品广告。,物体,,材质质感,刚体位移,日常白话,运镜,中文,110,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0124.mp4
126,"全景，航拍机位跟随，一名23岁亚洲年轻女性迎着清晨阳光奔跑在城市公园步道，黄金时刻的暖色阳光穿过树梢洒落地面，长焦压缩空间，人物始终位于画面黄金分割位置，步伐轻快有力，空气中的尘埃与逆光共同营造充满生命力的晨跑氛围。
中景，稳定跟拍逐渐推进，她放慢脚步停下来，大口呼吸，汗水顺着额头和脸颊自然滑落，胸口随着呼吸轻微起伏，背景轻微虚化，真实展现运动后的疲惫状态和身体细节。
特写，镜头快速切换至手部与产品，她打开一瓶 Coca-Cola 运动饮料，瓶盖开启瞬间气泡快速翻涌，冰凉水珠顺着瓶身滑落，她举起饮料自然饮用，液体流动、冷凝水和气泡细节真实细腻，产品成为视觉中心。
中景，镜头重新跟拍，她露出轻松自信的笑容，重新迈开脚步向前奔跑，阳光洒在人物和产品上，镜头缓缓拉远，Nike Swoosh 与 Coca-Cola Logo 自然出现在画面结尾。整体采用 Nike 品牌广告的运动影像风格结合 Coca-Cola 品牌广告的情绪表达，电影级商业摄影，自然光影，真实人物状态，高级品牌视觉，超写实画质。",人物,运动体育,画面构图,,专业影视语言,"运镜,多镜头",中文,451,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0125.mp4
127,"A young woman running in a park in the morning, the camera continuously following her, the sunshine hitting her body looking very dynamic. After getting tired from running, she stops to rest, takes out a bottle of Coca-Cola sports drink, opens it, and takes a sip, appearing very comfortable. Finally, she continues to run forward as the camera slowly pulls away, the image revealing the Nike and Coca-Cola logos, like a brand advertisement.",人物,运动体育,,,日常白话,运镜,英文,73,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0126.mp4
128,"全景，航拍缓慢推进，一只成年雪豹站立在高海拔雪山岩石顶端，晨曦穿过云层洒向雪地，冷暖交织的自然光勾勒身体轮廓，主体位于画面黄金分割位置，远处雪峰与峡谷形成壮阔背景，寒风卷起细小雪粒掠过岩石，整体呈现真实野外环境。
中景，镜头缓慢靠近并轻微环绕，雪豹缓缓转头观察四周，耳朵轻轻转动，胡须微微颤动，厚实的毛发随着寒风自然起伏，长尾缓慢摆动保持平衡，身体肌肉隐藏在浓密毛发下若隐若现。
面部特写，镜头继续推进，焦点锁定双眼，黄色瞳孔映射雪山环境，鼻尖湿润，轻轻眨眼后缓缓呼出一团白色哈气，面部细小绒毛和胡须清晰可见，每一根毛发都具有真实层次和光泽。
中景，镜头稳定跟随，雪豹缓缓迈步离开岩石，厚重毛发随着步伐产生自然摆动，尾巴保持身体平衡，雪地留下连续脚印，空气中的雪粒不断飘落。整体采用 BBC Earth 与 National Geographic 野生动物纪录片风格，超写实摄影，真实毛发物理模拟，自然环境光，HDR，电影级景深，8K画质。",动物,,画面构图,动物运动,专业影视语言,"运镜,多镜头",中文,420,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0127.mp4
129,"A snow leopard standing on a large rock in a snowy mountain, the camera slowly advancing. It turns its head to look into the distance as the wind gently sways its fur. The camera captures its face, clearly showing details of its eyes, whiskers, and fur. Finally, it slowly steps down off the rock with its tail swaying naturally, the entire scene feeling as realistic as a BBC documentary.",动物,,,动物运动,日常白话,运镜,英文,69,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0128.mp4
130,"全景，低空无人机高速跟拍，一只成年猎豹在非洲草原发现前方的汤姆森瞪羚，黄金时刻的阳光洒满草原，主体位于画面中央，广阔草原与稀疏金合欢树不断向后掠过，镜头随着猎豹迅速加速，画面充满速度与空间纵深。
中景，低机位并行高速跟拍，猎豹全力冲刺，身体不断伸展与收缩，四肢交替发力，背部脊柱自然弯曲，肩部与后腿肌肉剧烈起伏，尾巴持续摆动维持高速平衡，脚掌落地扬起大量尘土和草屑，动作符合真实猎豹运动规律。
近景，镜头继续跟随，瞪羚突然高速转向，猎豹迅速压低身体重心完成急转弯，前爪牢牢抓住地面，尾巴快速甩动修正方向，肌肉瞬间爆发，尘土四散飞扬，整个动作连贯流畅，没有任何迟滞。
全景，航拍镜头缓缓拉远，猎豹持续高速追逐瞪羚，两只动物快速穿越广阔草原，夕阳将长长的影子投射在地面。整体采用《Planet Earth》纪录片摄影风格，真实动物动力学，真实高速运动模糊，电影级景深，自然光影，超写实8K画质。",动物,,画面构图,动物运动,专业影视语言,"运镜,多镜头",中文,395,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0129.mp4
131,一只猎豹在非洲草原发现前面的羚羊，马上开始高速追赶，镜头一直跟着它奔跑，可以看到四条腿、尾巴和身体配合得特别自然。羚羊突然转弯，猎豹也马上跟着急转弯，最后两只动物一直跑向远方，整个画面很像纪录片。,动物,,,动物运动,日常白话,运镜,中文,98,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0130.mp4
132,"全景，俯视机位，对称构图，一张黑色磨砂桌面上整齐排列着数百块白色多米诺骨牌，尽头放置一颗金属钢球，顶部柔和聚光灯照亮整个场景，镜头缓慢向前推进，画面简洁纯净，真实商业摄影质感。
中景，镜头低机位跟随，第一块骨牌被轻轻推倒，骨牌依次连续碰撞，倒塌节奏均匀稳定，碰撞瞬间产生真实惯性与连锁反应，每块骨牌的翻转角度、速度和落点符合真实物理规律。
近景，镜头快速跟随最后一排骨牌，最后一块骨牌精准撞击金属钢球，钢球开始向前滚动，加速度自然变化，真实金属反光随着滚动不断变化，桌面产生细微震动反馈。
特写，镜头锁定钢球，钢球撞击另一组金属方块，方块依次倒下并最终稳定停止，整个过程运动轨迹连续流畅，碰撞反馈真实，没有穿模和抖动。整体采用超写实商业产品摄影风格，真实刚体动力学，真实碰撞模拟，HDR，电影级光影，8K画质。",物体,,,刚体位移,专业影视语言,"运镜,多镜头",中文,355,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0131.mp4
133,"全景，平视机位，居中构图，一块巨大的红色丝绸悬挂在纯黑摄影棚中央，柔和侧逆光勾勒布料轮廓，镜头缓慢推进，空气中微风轻轻吹拂，整体画面安静纯净。
中景，镜头轻微环绕，丝绸缓缓飘起，布料自然形成连续褶皱，边缘随风轻轻摆动，布面产生柔和起伏，重力、风力与张力共同作用，运动节奏自然真实。
近景，镜头继续推进，聚焦布料细节，丝绸不断翻转飘扬，光线随着褶皱变化产生丰富明暗层次，布料边缘轻轻抖动，纤维纹理清晰可见，运动连续稳定，没有任何穿插和僵硬。
全景，镜头缓缓拉远，丝绸最终缓缓落回地面，褶皱自然堆叠，整体运动柔顺流畅。采用高端商业摄影风格，超写实布料模拟，真实柔体动力学，真实风场模拟，电影级布光，HDR，8K画质。
",物体,,材质质感,流体/软体,专业影视语言,"运镜,多镜头",中文,307,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0132.mp4
134,"全景，俯视机位，居中构图，一颗鲜红色草莓静置于纯黑背景中央，高速摄影棚灯光均匀照亮主体，一股牛奶从画面上方垂直落下，镜头缓慢推进，空气中漂浮细微液滴，整体呈现极简商业广告风格。
中景，镜头高速跟拍，牛奶高速撞击草莓表面，液体瞬间产生皇冠状飞溅，大量液滴向四周扩散，液面形成真实波纹与拉丝，液滴大小、速度和轨迹符合真实流体动力学。
超近景，高速微距摄影，镜头锁定飞溅液滴，牛奶包裹草莓表面缓缓流淌，液体之间不断融合、拉伸、断裂，表面张力、粘性和重力共同作用，每一滴液体都保持真实形态和连续运动。
全景，镜头缓缓拉远，牛奶逐渐停止流动，草莓表面覆盖均匀奶液，桌面残留自然飞溅痕迹，整个画面定格于广告级视觉效果。采用高速商业广告摄影风格，超写实流体模拟，真实液体动力学，真实折射与反射，HDR，电影级光影，8K画质。",物体,,画面构图,流体/软体,专业影视语言,"运镜,多镜头",中文,355,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0133.mp4
135,"A strawberry set against a black background, the camera slowly advancing as a stream of milk pours down from above, splashing upon impact with the strawberry, slowly flowing over its surface, and finally coming to a rest.",物体,,,流体/软体,日常白话,运镜,英文,37,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0134.mp4
136,"全景，稳定器跟拍机位，一名年轻滑板少年在城市街道高速滑行，镜头始终锁定人物保持稳定跟随，人物始终位于画面三分线附近，背景建筑、车辆和行人不断向后掠过。少年连续完成加速、转弯、下台阶和跳跃动作，镜头同步调整距离与高度，始终保持主体清晰稳定。
中景，镜头贴近人物侧后方跟随，滑板高速穿过狭窄街巷，
脸部特写，人物快速绕过路障，表情自信
近景，镜头继续跟拍，少年完成一次高难度腾空动作后平稳落地，身体重心自然调整，滑板持续向前滑行，
中景，镜头保持稳定跟随，人物始终清晰可见。城市运动摄影风格，超写实画面，自然光照，真实运动模糊，HDR，电影级摄影质感。",人物,运动体育,,,专业影视语言,"运镜,多镜头",中文,274,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0135.mp4
137,"Handheld camera style with slight shaking, the camera continuously follows a boy riding a skateboard as he slides forward, constantly accelerating, turning, jumping up, and continuing to slide forward; the subject stays consistently in the frame while the background continuously moves backward, with stable tracking shot motion.",人物,运动体育,,,专业影视语言,运镜,英文,47,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0136.mp4
138,"超广角全景，第一人称FPV机位，镜头以极高速穿越茂密森林，连续避开树干、岩石和低垂树枝，随后冲出树林掠过湖面，贴近水面高速飞行，水花与倒影快速向后掠过，镜头持续加速进入峡谷，连续穿越狭窄岩缝与天然石桥，最后飞跃瀑布顶部冲向远方雪山，全程一镜到底，无剪辑，高速运动模糊，真实惯性，电影摄影质感，HDR，自然光照，超写实画面。
",自然景观,,,,专业影视语言,运镜,中文,162,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0137.mp4
